2025-12-11T22:32:28.149138 | ============================================================
2025-12-11T22:32:28.149572 | GRADER - SANITIZED PHYSICS+MATH
2025-12-11T22:32:28.149862 | ============================================================
2025-12-11T22:32:28.150073 | Input: C:\Main\Research\LazyHolidays\data\run_FAILURES_SANITIZED.csv
2025-12-11T22:32:28.150264 | Output: C:\Main\Research\LazyHolidays\data\graded_SANITIZED_20251211_223227.csv
2025-12-11T22:32:28.150428 | Model: openai/gpt-5.1
2025-12-11T22:32:28.150624 | ============================================================
2025-12-11T22:32:28.153778 | Loaded 120 sanitized rows
2025-12-11T22:32:28.154222 | [  1/120] 012-M-M | math
2025-12-11T22:32:47.847855 |     ⚠ Empty response attempt 1, retrying...
2025-12-11T22:33:25.105639 |     ⚠ Empty response attempt 2, retrying...
2025-12-11T22:33:46.413260 |     ⚠ Parse failed attempt 3, retrying...
2025-12-11T22:34:12.057511 |     ⚠ Empty response attempt 4, retrying...
2025-12-11T22:34:48.404481 |     ⚠ Empty response attempt 5, retrying...
2025-12-11T22:35:22.037826 |     ⚠ Empty response attempt 6, retrying...
2025-12-11T22:35:24.040373 |     ✗ Failed
2025-12-11T22:35:27.041627 | [  2/120] 002-M-M | math
2025-12-11T22:35:59.384328 |     ⚠ Empty response attempt 1, retrying...
2025-12-11T22:36:23.231127 |     ⚠ Empty response attempt 2, retrying...
